timestamp,action
00:00:00,start
00:00:42,finding_game
00:01:02,character_select
00:01:26,match_start
00:01:26,round_start
00:02:32,kill
00:02:58,kill
00:03:05,kill
00:03:17,kill
00:03:18,assist
00:03:58,kill
00:04:03,kill
00:04:34,perk_activation
00:04:36,kill
00:04:44,kill
00:04:45,round_end
00:05:36,round_start
00:05:54,kill
00:06:01,death
00:06:11,respawn
00:06:35,kill
00:06:57,assist
00:06:58,kill
00:06:59,assist
00:07:04,kill
00:07:12,kill
00:07:33,kill
00:07:56,kill
00:08:01,kill
00:08:23,round_end
00:08:24,match_end
00:08:58,finding_game
00:09:31,character_select
00:10:05,match_start
00:10:05,round_start
00:11:07,death
00:11:18,respawn
00:11:45,kill
00:11:49,kill
00:12:26,assist
00:12:29,kill
00:12:34,death
00:12:45,respawn
00:13:29,death
00:13:33,kill
00:13:40,respawn
00:14:00,death
00:14:11,respawn
00:14:28,perk_activation
00:14:53,kill
00:15:01,death
00:15:12,respawn
00:15:43,kill
00:15:43,death
00:15:54,respawn
00:16:11,kill
00:16:12,kill
00:16:29,death
00:16:40,respawn
00:17:06,death
00:17:17,respawn
00:17:47,kill
00:17:54,kill
00:18:02,kill
00:18:13,kill
00:18:32,kill
00:18:37,round_end
00:18:38,match_end
00:19:11,finding_game
00:19:35,match_start
00:19:35,round_start
00:20:38,kill
00:20:44,assist
00:21:21,kill
00:21:22,death
00:21:32,respawn
00:21:54,kill
00:22:07,kill
00:22:40,round_end
00:22:52,round_start
00:23:49,kill
00:24:11,kill
00:24:14,kill
00:24:56,kill
00:25:07,kill
00:25:16,kill
00:25:25,kill
00:26:00,death
00:26:11,respawn
00:26:32,round_end
00:26:32,match_end
00:27:14,finding_game
00:29:01,select_preferred_hero
00:30:14,character_select
00:30:30,match_start
00:31:54,death
00:32:02,respawn
00:32:12,kill
00:32:23,kill
00:32:32,kill
00:32:43,death
00:32:53,respawn
00:33:07,kill
00:33:13,kill
00:33:20,perk_selected
00:33:44,perk_activation
00:33:50,kill
00:33:55,death
00:34:06,respawn
00:34:24,kill
00:35:21,kill
00:35:28,perk_selected
00:35:32,kill
00:35:51,death
00:36:01,respawn
00:36:16,kill
00:37:01,kill
00:37:23,kill
00:37:36,kill
00:37:49,kill
00:37:53,kill
00:37:55,kill
00:38:24,round_end
00:39:06,round_start
00:40:27,kill
00:40:59,death
00:41:09,respawn
00:41:26,kill
00:41:27,kill
00:41:58,death
00:41:59,kill
00:42:08,respawn
00:42:39,kill
00:42:41,kill
00:42:46,kill
00:43:04,kill
00:43:05,death
00:43:15,respawn
00:43:30,assist
00:43:43,kill
00:43:52,kill
00:44:03,perk_activation
00:44:04,kill
00:44:05,kill
00:44:09,death
00:44:23,respawn
00:44:56,perk_selected
00:45:57,death
00:46:07,respawn
00:46:27,kill
00:46:28,kill
00:46:29,death
00:46:39,respawn
00:46:58,kill
00:47:11,death
00:47:21,respawn
00:47:34,death
00:47:44,respawn
00:47:57,death
00:48:07,respawn
00:48:21,death
00:48:31,respawn
00:48:42,death
00:48:58,round_end
00:49:34,round_start
00:49:42,perk_selected
00:49:53,perk_selected
00:50:50,death
00:51:00,respawn
00:51:24,kill
00:51:40,death
00:51:53,respawn
00:52:19,perk_activation
00:52:21,kill
00:52:31,assist
00:52:35,kill
00:52:36,round_end
00:52:15,round_start
00:53:54,perk_selected
00:54:06,perk_selected
00:54:28,kill
00:54:51,death
00:55:01,respawn
00:55:07,kill
00:55:14,kill
00:55:20,kill
00:55:21,kill
00:55:26,kill
00:55:32,death
00:55:42,respawn
00:56:34,kill
00:56:43,round_end
00:56:44,match_end
































































